       0          43.17561905          13.77072015        -174.00212566        -160.23140550
     100         302.09584723          96.35246611        -107.75388191         -11.40141580
     200         301.52255943          96.16961787        -104.68899094          -8.51937307
     300         303.68804455          96.86029215        -106.44653380          -9.58624165
     400         296.00682074          94.41039136        -107.24832663         -12.83793528
     500         291.60503095          93.00645514         -99.37460721          -6.36815207
     600         304.02555006          96.96793841        -109.41500285         -12.44706444
     700         298.52593134          95.21385331        -101.12969568          -5.91584237
     800         303.84361302          96.90991020         -98.21589964          -1.30598944
     900         301.30126613          96.09903711        -103.02796993          -6.92893282
    1000         301.33530698          96.10989433        -109.34896457         -13.23907024
    1100         301.36833432          96.12042829        -109.28498837         -13.16456008
    1200         300.13147468          95.72593602        -104.76043786          -9.03450185
    1300         291.39928958          92.94083461         -95.89088753          -2.95005292
    1400         299.86555807          95.64112280         -99.24515185          -3.60402905
    1500         301.86557533          96.27902165        -106.90276568         -10.62374402
    1600         300.64884659          95.89095007        -110.38593336         -14.49498330
    1700         297.34483224          94.83714567         -96.01059255          -1.17344688
    1800         307.98964363          98.23227288        -106.21757210          -7.98529922
    1900         304.23128079          97.03355555        -101.63555759          -4.60200204
    2000         293.80300801          93.70749261        -110.32452255         -16.61702994
    2100         298.53106651          95.21549115         -98.20238094          -2.98688978
    2200         301.44380763          96.14450025        -110.20463708         -14.06013683
    2300         304.01800958          96.96553340        -111.99731881         -15.03178541
    2400         302.18552143          96.38106740        -114.39695877         -18.01589137
    2500         305.08751379          97.30664822        -103.91828657          -6.61163836
    2600         307.87861040          98.19685920        -110.61824095         -12.42138176
    2700         309.28783874          98.64632789         -99.17136167          -0.52503378
    2800         307.96067915          98.22303475        -104.07020418          -5.84716943
    2900         297.68462668          94.94552198         -97.18765380          -2.24213182
    3000         307.05332561          97.93363736        -106.48869692          -8.55505956
    3100         307.70869523          98.14266532        -105.46124008          -7.31857476
    3200         302.25253598          96.40244147        -106.29356819          -9.89112672
    3300         303.04310793          96.65459176        -103.54836437          -6.89377260
    3400         305.37912171          97.39965559        -110.99450810         -13.59485251
    3500         301.32140060          96.10545893        -109.19636387         -13.09090493
    3600         299.33345044          95.47140884        -105.23023389          -9.75882505
    3700         300.00000000          95.68400260        -100.75050926          -5.06650666
    3800         302.08373255          96.34860217        -102.63387054          -6.28526837
    3900         291.31675331          92.91450994         -95.69934439          -2.78483445
    4000         297.26836313          94.81275611        -101.22711739          -6.41436128
    4100         300.00000000          95.68400261        -105.11475462          -9.43075202
    4200         297.18851896          94.78729007        -104.01005428          -9.22276420
    4300         306.16799140          97.65126296        -101.69668161          -4.04541865
    4400         305.07499492          97.30265536        -108.51883981         -11.21618444
    4500         305.07889403          97.30389897        -103.53039978          -6.22650081
    4600         295.44631478          94.23161984         -91.08100711           3.15061274
    4700         294.37367518          93.88950501        -101.31417682          -7.42467181
    4800         300.39555413          95.81016328         -96.10866574          -0.29850246
    4900         303.47626435          96.79274556        -104.15699454          -7.36424898
    5000         307.20022607          97.98049077        -104.76008814          -6.77959736
    5100         290.21791683          92.56403970        -101.91591304          -9.35187335
    5200         296.87375840          94.68689824        -108.93837199         -14.25147375
    5300         290.15384369          92.54360378        -103.51369060         -10.97008681
    5400         309.81049852          98.81302849        -116.88812582         -18.07509733
    5500         308.89540273          98.52116173        -102.16423873          -3.64307700
    5600         304.80324573          97.21598186        -114.26438926         -17.04840740
    5700         307.16347165          97.96876807        -110.24643278         -12.27766471
    5800         295.95117557          94.39264351         -99.45092692          -5.05828341
    5900         290.90687027          92.78377911        -104.61883831         -11.83505919
    6000         297.87601776          95.00656553         -99.99597314          -4.98940761
    6100         297.91309802          95.01839216         -99.31540385          -4.29701169
    6200         300.00000000          95.68400260        -104.63657796          -8.95257536
    6300         300.07476807          95.70784963        -101.55343906          -5.84558943
    6400         297.43603362          94.86623405         -97.12369560          -2.25746155
    6500         294.23789984          93.84619992        -103.37844537          -9.53224546
    6600         300.48039866          95.83722416         -94.59702516           1.24019900
    6700         305.93245639          97.57613985        -106.01891607          -8.44277622
    6800         309.74066251          98.79075453        -107.93968536          -9.14893083
    6900         299.77387998          95.61188238        -104.44779954          -8.83591716
    7000         303.07676432          96.66532635         -98.27080367          -1.60547731
    7100         293.95286609          93.75528935         -98.52372430          -4.76843495
    7200         292.18740066          93.19220002        -101.12983265          -7.93763263
    7300         299.44655404          95.50748286        -106.84772272         -11.34023986
    7400         300.00000000          95.68400261        -105.63300859          -9.94900599
    7500         292.73756583          93.36767337        -110.75932862         -17.39165525
    7600         309.54863994          98.72950957        -109.09167012         -10.36216056
    7700         304.85393590          97.23214932        -110.29978756         -13.06763824
    7800         309.60786996          98.74840079        -111.16290472         -12.41450394
    7900         303.13790769          96.68482783        -110.45108387         -13.76625603
    8000         300.00000000          95.68400261        -106.52824792         -10.84424532
    8100         298.84796369          95.31656446        -103.00717243          -7.69060797
    8200         305.29578254          97.37307484        -105.89599428          -8.52291944
    8300         302.47910840          96.47470599        -104.32713151          -7.85242552
    8400         302.89969214          96.60884977        -108.10453966         -11.49568989
    8500         300.00000000          95.68400261        -106.98412889         -11.30012628
    8600         300.04821537          95.69938074        -109.89725038         -14.19786965
    8700         296.50528153          94.56937377        -101.44616278          -6.87678901
    8800         301.53668191          96.17412219        -106.40799657         -10.23387438
    8900         299.91552199          95.65705862        -103.94954434          -8.29248571
    9000         295.41996936          94.22321706        -105.87432495         -11.65110789
    9100         300.91426702          95.97560503        -107.58057067         -11.60496564
    9200         291.82392452          93.07627051        -101.37627019          -8.29999968
